Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:31:16.000,37.0,37.0,37.0,37.0,39.0,3.2,0.8,0.0,0.0
09:31:19.000,39.0,39.0,39.0,39.0,39.0,3.4,0.9,0.0,0.0
09:31:22.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:31:25.000,43.0,43.0,42.0,42.0,43.0,3.4,1.0,0.0,0.0
09:31:28.000,37.0,37.0,37.0,37.0,39.0,3.6,1.1,0.0,0.0
09:31:31.000,39.0,39.0,39.0,39.0,40.0,4.2,1.7,0.0,0.0
09:31:34.000,38.0,38.0,38.0,38.0,38.0,3.6,1.2,0.0,0.0
09:31:37.000,40.0,40.0,40.0,43.0,44.0,3.3,0.8,0.0,0.0
09:31:41.000,43.0,43.0,43.0,44.0,45.0,3.2,0.8,0.0,0.0
09:31:44.000,43.0,43.0,43.0,43.0,43.0,3.4,1.0,0.0,0.0
09:31:47.000,41.0,41.0,41.0,41.0,41.0,4.4,1.9,0.0,0.0
09:31:50.000,48.0,48.0,46.0,51.0,50.0,11.3,8.7,0.0,0.0
09:31:53.000,44.0,44.0,44.0,44.0,44.0,3.6,1.1,0.0,0.0
09:31:56.000,38.0,38.0,38.0,38.0,38.0,3.1,0.7,0.0,0.0
09:31:59.000,37.0,37.0,37.0,37.0,45.0,3.1,0.7,0.0,0.0
09:32:02.000,40.0,40.0,40.0,40.0,40.0,4.6,2.0,0.0,0.0
09:32:05.000,39.0,39.0,39.0,39.0,40.0,4.4,2.0,0.0,0.0
09:32:08.000,45.0,45.0,45.0,45.0,45.0,3.3,0.9,0.0,0.0
09:32:11.000,41.0,41.0,41.0,41.0,45.0,3.1,0.7,0.0,0.0
09:32:14.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:32:17.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0
09:32:20.000,56.0,48.0,44.0,47.0,56.0,13.7,11.1,0.0,0.0
09:32:23.000,41.0,41.0,41.0,41.0,41.0,3.3,0.9,0.0,0.0
09:32:26.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0
09:32:29.000,41.0,41.0,41.0,41.0,41.0,3.2,0.8,0.0,0.0
09:32:32.000,44.0,42.0,43.0,44.0,45.0,3.2,0.8,0.0,0.0
09:32:35.000,38.0,38.0,38.0,38.0,39.0,3.5,1.1,0.0,0.0
09:32:38.000,42.0,42.0,42.0,42.0,42.0,3.4,1.0,0.0,0.0
09:32:41.000,39.0,39.0,39.0,39.0,40.0,3.2,0.8,0.0,0.0
09:32:44.000,39.0,39.0,39.0,39.0,39.0,3.2,0.7,0.0,0.0
09:32:47.000,38.0,38.0,38.0,38.0,38.0,3.2,0.8,0.0,0.0
09:32:50.000,42.0,42.0,42.0,42.0,42.0,3.7,1.3,0.0,0.0
09:32:53.000,42.0,42.0,42.0,42.0,42.0,3.4,1.0,0.0,0.0
09:32:56.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:32:59.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:33:02.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:33:05.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:33:08.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0
09:33:11.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:33:14.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:33:17.000,41.0,41.0,41.0,41.0,41.0,3.2,0.8,0.0,0.0
09:33:20.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:33:23.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0
